timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559778255866,6360,vídeo,200,OK,Usuarios esperados 1-23,text,true,,218380,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1390,0,834
1559778240155,22135,vídeo,200,OK,Usuarios esperados 1-1,text,true,,216126,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1365,0,814
1559778256987,5489,vídeo,200,OK,Usuarios esperados 1-42,text,true,,215214,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,968,0,586
1559778256133,7159,vídeo,200,OK,Usuarios esperados 1-11,text,true,,217463,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1123,0,568
1559778239074,24779,página,200,OK,Usuarios esperados 1-37,text,true,,455060,119,50,50,https://www.youtube.com/,1631,0,1087
1559778259440,4533,vídeo,200,OK,Usuarios esperados 1-8,text,true,,213773,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1663,0,1132
1559778247376,17062,página,200,OK,Usuarios esperados 1-41,text,true,,446862,119,50,50,https://www.youtube.com/,2735,0,1378
1559778258081,6357,vídeo,200,OK,Usuarios esperados 1-28,text,true,,217456,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,2168,0,1351
1559778247376,17334,página,200,OK,Usuarios esperados 1-30,text,true,,426478,119,50,50,https://www.youtube.com/,1665,0,1376
1559778259706,5522,vídeo,200,OK,Usuarios esperados 1-25,text,true,,217841,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1095,0,562
1559778252819,12419,página,200,OK,Usuarios esperados 1-50,text,true,,466352,119,50,50,https://www.youtube.com/,1882,0,1665
1559778249339,16732,página,200,OK,Usuarios esperados 1-3,text,true,,483292,119,50,50,https://www.youtube.com/,2128,0,1600
1559778253099,12983,vídeo,200,OK,Usuarios esperados 1-33,text,true,,216462,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1665,0,1383
1559778232963,33655,página,200,OK,Usuarios esperados 1-9,text,true,,425990,119,50,50,https://www.youtube.com/,1608,0,1359
1559778260458,6162,vídeo,200,OK,Usuarios esperados 1-17,text,true,,217947,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1737,0,1221
1559778261959,6187,vídeo,200,OK,Usuarios esperados 1-31,text,true,,214616,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1595,0,1170
1559778256385,12530,página,200,OK,Usuarios esperados 1-5,text,true,,533854,119,50,50,https://www.youtube.com/,1958,0,1458
1559778260526,8395,vídeo,200,OK,Usuarios esperados 1-2,text,true,,214639,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1056,0,827
1559778259453,9853,vídeo,200,OK,Usuarios esperados 1-29,text,true,,221088,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1658,0,1336
1559778261976,7511,vídeo,200,OK,Usuarios esperados 1-46,text,true,,213818,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1516,0,1313
1559778258919,10875,página,200,OK,Usuarios esperados 1-7,text,true,,370441,119,50,50,https://www.youtube.com/,1871,0,1075
1559778240431,29356,página,200,OK,Usuarios esperados 1-44,text,true,,474529,119,50,50,https://www.youtube.com/,8303,0,3282
1559778260824,9244,vídeo,200,OK,Usuarios esperados 1-43,text,true,,216610,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1405,0,1139
1559778249856,20399,vídeo,200,OK,Usuarios esperados 1-4,text,true,,216655,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,2137,0,1760
1559778264711,6128,vídeo,200,OK,Usuarios esperados 1-30,text,true,,217063,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1074,0,535
1559778259995,10854,vídeo,200,OK,Usuarios esperados 1-24,text,true,,217128,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1054,0,796
1559778255531,15441,página,200,OK,Usuarios esperados 1-12,text,true,,424466,119,50,50,https://www.youtube.com/,1164,0,797
1559778248462,22725,página,200,OK,Usuarios esperados 1-20,text,true,,433725,119,50,50,https://www.youtube.com/,3006,0,1385
1559778261704,10294,página,200,OK,Usuarios esperados 1-21,text,true,,393624,119,50,50,https://www.youtube.com/,3218,0,2999
1559778260266,11739,vídeo,200,OK,Usuarios esperados 1-32,text,true,,215856,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1689,0,841
1559778249335,23043,página,200,OK,Usuarios esperados 1-27,text,true,,393963,119,50,50,https://www.youtube.com/,5867,0,5149
1559778269801,3010,vídeo,200,OK,Usuarios esperados 1-44,text,true,,217082,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,827,0,700
1559778268915,3905,vídeo,200,OK,Usuarios esperados 1-5,text,true,,217043,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,2388,0,2270
1559778264438,8669,vídeo,200,OK,Usuarios esperados 1-41,text,true,,216122,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1067,0,537
1559778257839,15504,página,200,OK,Usuarios esperados 1-13,text,true,,379081,119,50,50,https://www.youtube.com/,1870,0,1332
1559778260007,13592,página,200,OK,Usuarios esperados 1-48,text,true,,399728,119,50,50,https://www.youtube.com/,1672,0,1107
1559778269487,4113,página,200,OK,Usuarios esperados 1-46,text,true,,466383,119,50,50,https://www.youtube.com/,503,0,412
1559778266072,7534,vídeo,200,OK,Usuarios esperados 1-3,text,true,,215151,138,50,50,https://www.youtube.com/watch?v=wmiIUN-7qhE,1761,0,1441
1559778251464,22436,página,200,OK,Usuarios esperados 1-47,text,true,,433354,119,50,50,https://www.youtube.com/,6883,0,3273
